"N","Артикул","Наименование полное","Символьный код"
"242","11001023","Майка камуфляжная (NIGHT CAMO), распродажа","majka_ctn_rasprodazha"
"243","11001024","Майка военная камуфляжная","majka_11001024"
"244","11001060","Майка камуфляжная (3CD), распродажа","majka_3cd_rasprodazha"
"245","11001061","Майка камуфляжная (6CD), распродажа","majka_rasprodazha"
"246","11001062","Майка","majka_11001062"
"247","11006002","Майка спортивная Бундесвер","majka_sportivnaya_bundesver_11006002"
"248","11006007","Майка спортивная Бундесвер, распродажа","majka_sportivnaya_bundesver_11006007"
"249","11011001","Футболка US образца","futbolka_us_obrazca_11011001"
"250","11011002","Футболка US образца","futbolka_us_obrazca_11011002"
"251","11011005","Футболка US образца","futbolka_us_obrazca_11011005"
"252","11011006","Футболка US образца","futbolka_us_obrazca_11011006"
"253","#NULL!","Футболка US образца","futbolka_us_obrazca_11011009"
