"N","Артикул","Наименование полное","Символьный код"
"254","11012020","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012020"
"255","11012021","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012021"
"256","11012022","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012022"
"257","11012023","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012023"
"258","11012024","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012024"
"259","11012025","Футболка камуфляжная, распродажа","futbolka_kamuflyazhnaya_11012025"
"260","11012026","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012026"
"261","11012027","Футболка камуфляжная CC, распродажа","futbolka_kamuflyazhnaya_cc_rasprodazha"
"262","11012028","Футболка камуфляжная","futbolka_kamuflyazhnaya_bgs_rasprodazha"
"263","11012029","Футболка камуфляжная, распродажа","futbolka_kamuflyazhnaya_aust_rasprodazha"
"264","11012030","Футболка камуфляжная, распродажа","futbolka_kamuflyazhnaya_11012030"
"265","11012031","Футболка камуфляжная","futbolka_kamuflyazhnaya_nva_rasprodazha"
"266","11012033","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012033"
"267","11012034","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012034"
"268","11012035","Футболка камуфляжная, распродажа","futbolka_kamuflyazhnaya_11012035"
"269","11012037","Футболка камуфляжная BG, распродажа","futbolka_kamuflyazhnaya_bg_rasprodazha"
"270","11012038","Футболка камуфляжная SWED, распродажа","futbolka_kamuflyazhnaya_swed_rasprodazha"
"271","11012039","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012039"
"272","11012040","Футболка камуфляжная SWISS, распродажа","futbolka_kamuflyazhnaya_swiss_rasprodazha"
"273","11012042","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012042"
"274","11012044","Футболка камуфляжная AF, распродажа","futbolka_kamuflyazhnaya_af_rasprodazha"
"275","11012046","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012046"
"276","11012048","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012048"
"277","11012060","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012060"
"278","11012061","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012061"
"279","11012062","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012062"
"280","11012063","Футболка камуфляжная CK, распродажа","futbolka_kamuflyazhnaya_ck_rasprodazha"
"281","11012064","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012064"
"282","11012070","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012070"
"283","11012071","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012071"
"284","11012073","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012073"
"285","11012078","Футболка камуфляжная","futbolka_kamuflyazhnaya_11012078"
"286","11012082","Футболка камуфляжная","futbolka_kamuflyazhnaya_rd_rasprodazha"
"287","11012083","Футболка камуфляжная CT, распродажа","futbolka_kamuflyazhnaya_ct_rasprodazha"
"288","11012084","Футболка камуфляжная","futbolka_kamuflyazhnaya_rasprodazha"
"289","11013020","Футболка T-SHIRT BODY STYLE WL, распродажа","futbolka_t-shirt_body_style_wl_rasprodazha"
"290","11013022","Футболка T-SHIRT BODY STYLE, распродажа","futbolka_t-shirt_body_style_rasprodazha"
"291","11015009","Футболка тропическая Бундесвер с флажками","futbolka_tropicheskaya_bundesver_s_flazhkami_11015009"
"292","11060002","Футболка с рисунком ""FBI""","futbolka_s_risunkom_fbi_11060002"
"293","11061002","Футболка с рисунком ""POLICE"", распродажа (АКЦИЯ)","futbolka_s_risunkom_police_11061002"
"294","11062002","Футболка с рисунком 'SWAT', распродажа","futbolka_s_risunkom_swat_11062002"
"295","11063008","Футболка с рисунком 'ARMY', распродажа (АКЦИЯ)","futbolka_s_risunkom_army_11063008"
"296","11064001","Футболка с рисунком 'TOTENKOPF' (череп), распродажа","futbolka_s_risunkom_totenkopf_cherep_11064001"
"297","11065020","Футболка военная с длинным рукавом","futbolka_s_dlinnym_rukavom_11065020"
"298","11141001","Брюки покрой BDU R/S искусственно состаренные женские, распродажа","bryuki_pokroj_bdu_r_s_iskusstvenno_sostarennye_zhenskie_11141001"
"299","11141020","Брюки женские полевые BDU, распродажа","bryuki_zhenskie_polevye_bdu_rasprodazha_11141020"
"300","11141022","Брюки женские полевые BDU, распродажа","bryuki_zhenskie_polevye_bdu_rasprodazha_11141022"
"301","11141060","Брюки женские полевые BDU, распродажа","bryuki_zhenskie_polevye_bdu_rasprodazha_11141060"
"302","11201001","Трусы ""BOXER SHORTS"", распродажа","trusy_boxer_11201001"
"303","11201020","Трусы ""Boxer""WL, распродажа","trusy_boxerwl_rasprodazha"
"304","11201021","Трусы ""Boxer"", распродажа","trusy_boxer_11201021"
"305","11201060","Трусы ""Boxer"" 3С, распродажа","trusy_boxer_3s_rasprodazha"
"306","11201070","Трусы ""Boxer"", распродажа","trusy_boxer_rasprodazha"
"307","11212001","Футболка образца 2000 года (Бундесвер), распродажа","futbolka_obrazca_2000_goda_bundesver_11212001"
"308","11215001","Футболка с длинным рукавом образца 2000 года (Бундесвер), распродажа","futbolka_s_dlinnym_rukavom_obrazca_2000_goda_bundesver_rasprodazha"
"309","11216001","Кальсоны демисезонные образца 2000 года (Бундесвер), распродажа","kalsony_demisezonnye_obrazca_2000_goda_bundesver_11216001"
"310","11220001","Термобелье флисовое с застёжкой-молнией (комплект)","termobele_flisovoe_s_zastyozhkoj-molniej_komplekt_11220001"
"311","11221001","Термобелье флисовое с круглой горловиной (комплект)","termobele_flisovoe_s_krugloj_gorlovinoj_komplekt_11221001"
"312","11301001","Брюки повседневные (Германии), распродажа","bryuki_povsednevnye_germanii_rasprodazha"
"313","11301002","Брюки повседневные (Германии) BK, распродажа","bryuki_povsednevnye_germanii_bk_rasprodazha"
"314","11301008","Брюки молескиновые Бундесвер оригинальные","bryuki_moleskinovye_bundesver_originalnye_11301008"
"315","11302002","Брюки повседневные (Германия), распродажа","bryuki_povsednevnye_germaniya_rasprodazha"
"316","11302003","Брюки молескиновые Бундесвер искусственно состаренные оригинальные","bryuki_moleskinovye_bundesver_iskusstvenno_sostarennye_originalnye_11302003"
"317","11302004","Брюки повседневные (Германии), распродажа","bryuki_povsednevnye_germanii_rasprodazha_11302004"
"318","11302008","Брюки молескиновые Бундесвер искусственно состаренные оригинальные, распродажа","bryuki_moleskinovye_bundesver_iskusstvenno_sostarennye_originalnye_rasprodazha_11302008"
"319","11321001","Брюки полевые зимние (Германия)","bryuki_polevye_zimnie_germaniya_11321001"
"320","11321002","Брюки полевые зимние (Германия)","bryuki_polevye_zimnie_germaniya_11321002"
"321","11322002","Брюки зимние ""MA1""","bryuki_zimnie_ma1_11322002"
"322","11401001","Шорты BERMUDA OD, распродажа","shorty_bermuda_od_rasprodazha"
"323","11401002","Шорты BERMUDA BK, распродажа","shorty_bermuda_bk_rasprodazha"
"324","11401004","Шорты BERMUDA KH, распродажа","shorty_bermuda_kh_rasprodazha"
"325","11401020","Шорты BERMUDA WL, распродажа","shorty_bermuda_wl_rasprodazha"
"326","11401022","Шорты BERMUDA, распродажа","shorty_bermuda_rasprodazha"
"327","11402001","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402001"
"328","11402002","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402002"
"329","11402004","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402004"
"330","11402020","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402020"
"331","11402060","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402060"
"332","11402070","Шорты BERMUDA R/S искусственно состаренные","shorty_bermuda_r_s_iskusstvenno_sostarennye_11402070"
"333","11403001","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403001"
"334","11403002","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403002"
"335","11403004","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403004"
"336","11403020","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403020"
"337","11403022","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403022"
"338","11403060","Шорты PARATROOPER искусственно состаренные, распродажа","shorty_paratrooper_iskusstvenno_sostarennye_11403060"
"339","11404001","Шорты AVIATOR искусственно состаренные","shorty_aviator_iskusstvenno_sostarennye_11404001"
"340","11404002","Шорты AVIATOR искусственно состаренные","shorty_aviator_iskusstvenno_sostarennye_11404002"
"341","11404004","Шорты AVIATOR искусственно состаренные","shorty_aviator_iskusstvenno_sostarennye_11404004"
"342","11405001","Шорты BERMUDA молескиновые искусственно состаренные","shorty_bermuda_moleskinovye_iskusstvenno_sostarennye_11405001"
"343","11405004","Шорты BERMUDA молескиновые искусственно состаренные","shorty_bermuda_moleskinovye_iskusstvenno_sostarennye_11405004"
"344","11446020","Костюм спортивный камуфляжный, распродажа","kostyum_sportivnyj_kamuflyazhnyj_rasprodazha_11446020"
"345","11450020","Реглан с капюшоном на молнии камуфляжный, распродажа","reglan_s_kapyushonom_na_molnii_kamuflyazhnyj_rasprodazha"
"346","11501001","Брюки демисезонные M65, распродажа","bryuki_demisezonnye_m65_od_rasprodazha"
"347","11501002","Брюки демисезонные M65 BK, распродажа","bryuki_demisezonnye_m65_bk_rasprodazha"
"348","11501020","Брюки демисезонные M65 (искусственно состаренные), распродажа","bryuki_demisezonnye_m65_iskusstvenno_sostarennyewl_rasprodazha"
"349","11502001","Брюки летные (FLIEGERHOSE) OD, распродажа","bryuki_letnye_fliegerhose_od_rasprodazha"
"350","11502002","Брюки летные (FLIEGERHOSE) BK, распродажа","bryuki_letnye_fliegerhose_bk_rasprodazha"
"351","11503001","Брюки летные (FLIEGERHOSE), распродажа","bryuki_letnye_fliegerhose_11503001"
